UWID,DateTime,Depth,temp,wqx.id,nhd_id
ME,1995-05-09,0,7.8,,nhd_13293262
ME,1995-05-09,1,7.8,,nhd_13293262
ME,1995-05-09,2,7.8,,nhd_13293262
ME,1995-05-09,3,7.8,,nhd_13293262
ME,1995-05-09,4,7.8,,nhd_13293262
ME,1995-05-09,5,7.7,,nhd_13293262
ME,1995-05-09,6,7.7,,nhd_13293262
ME,1995-05-09,7,7.7,,nhd_13293262
ME,1995-05-09,8,7.7,,nhd_13293262
ME,1995-05-09,9,7.7,,nhd_13293262
ME,1995-05-09,10,7.7,,nhd_13293262
ME,1995-05-09,11,7.7,,nhd_13293262
ME,1995-05-09,12,7.7,,nhd_13293262
ME,1995-05-09,13,7.7,,nhd_13293262
ME,1995-05-09,14,7.6,,nhd_13293262
ME,1995-05-09,15,7.6,,nhd_13293262
ME,1995-05-09,16,7.6,,nhd_13293262
ME,1995-05-09,17,7.6,,nhd_13293262
ME,1995-05-09,18,7.6,,nhd_13293262
ME,1995-05-09,19,7.6,,nhd_13293262
ME,1995-05-09,20,7.6,,nhd_13293262
ME,1995-05-09,21,7.6,,nhd_13293262
ME,1995-05-09,22,7.6,,nhd_13293262
ME,1995-05-09,23,7.6,,nhd_13293262
ME,1995-05-23,0,14,,nhd_13293262
ME,1995-05-23,1,14,,nhd_13293262
ME,1995-05-23,2,14,,nhd_13293262
ME,1995-05-23,3,13.9,,nhd_13293262
ME,1995-05-23,4,13.9,,nhd_13293262
ME,1995-05-23,5,13.4,,nhd_13293262
ME,1995-05-23,6,13.3,,nhd_13293262
ME,1995-05-23,7,13.2,,nhd_13293262
ME,1995-05-23,8,13.1,,nhd_13293262
ME,1995-05-23,9,12.9,,nhd_13293262
ME,1995-05-23,10,12.9,,nhd_13293262
ME,1995-05-23,11,12.8,,nhd_13293262
ME,1995-05-23,12,12.6,,nhd_13293262
ME,1995-05-23,13,11.9,,nhd_13293262
ME,1995-05-23,14,11.1,,nhd_13293262
ME,1995-05-23,15,10.8,,nhd_13293262
ME,1995-05-23,16,10.5,,nhd_13293262
ME,1995-05-23,17,10.4,,nhd_13293262
ME,1995-05-23,18,10.2,,nhd_13293262
ME,1995-05-23,19,10.2,,nhd_13293262
ME,1995-05-23,20,9.8,,nhd_13293262
ME,1995-05-23,21,9.6,,nhd_13293262
ME,1995-05-23,21.5,9.6,,nhd_13293262
ME,1995-05-23,22,9.6,,nhd_13293262
ME,1995-05-23,22.5,9.5,,nhd_13293262
ME,1995-05-23,23,9.5,,nhd_13293262
ME,1995-06-06,0,19.3,,nhd_13293262
ME,1995-06-06,1,18.7,,nhd_13293262
ME,1995-06-06,2,18,,nhd_13293262
ME,1995-06-06,3,17.9,,nhd_13293262
ME,1995-06-06,4,17.5,,nhd_13293262
ME,1995-06-06,5,15.6,,nhd_13293262
ME,1995-06-06,6,15.1,,nhd_13293262
ME,1995-06-06,7,14.9,,nhd_13293262
ME,1995-06-06,8,14.6,,nhd_13293262
ME,1995-06-06,9,14.1,,nhd_13293262
ME,1995-06-06,10,13.8,,nhd_13293262
ME,1995-06-06,11,13.5,,nhd_13293262
ME,1995-06-06,12,13,,nhd_13293262
ME,1995-06-06,13,12,,nhd_13293262
ME,1995-06-06,14,11.5,,nhd_13293262
ME,1995-06-06,15,11.2,,nhd_13293262
ME,1995-06-06,16,11,,nhd_13293262
ME,1995-06-06,17,10.6,,nhd_13293262
ME,1995-06-06,18,10.3,,nhd_13293262
ME,1995-06-06,19,10.3,,nhd_13293262
ME,1995-06-06,20,10.1,,nhd_13293262
ME,1995-06-06,21,10,,nhd_13293262
ME,1995-06-06,22,9.9,,nhd_13293262
ME,1995-06-06,23,9.9,,nhd_13293262
ME,1995-06-06,24,9.8,,nhd_13293262
ME,1995-06-21,0,27.6,,nhd_13293262
ME,1995-06-21,1,27.4,,nhd_13293262
ME,1995-06-21,2,25.6,,nhd_13293262
ME,1995-06-21,3,24.2,,nhd_13293262
ME,1995-06-21,4,22.3,,nhd_13293262
ME,1995-06-21,5,20.1,,nhd_13293262
ME,1995-06-21,6,18.4,,nhd_13293262
ME,1995-06-21,7,17.5,,nhd_13293262
ME,1995-06-21,8,16.5,,nhd_13293262
ME,1995-06-21,9,15.8,,nhd_13293262
ME,1995-06-21,10,14.7,,nhd_13293262
ME,1995-06-21,11,14.3,,nhd_13293262
ME,1995-06-21,12,13.5,,nhd_13293262
ME,1995-06-21,13,13,,nhd_13293262
ME,1995-06-21,14,12.1,,nhd_13293262
ME,1995-06-21,15,11.7,,nhd_13293262
ME,1995-07-06,0,21.4,,nhd_13293262
ME,1995-07-06,1,21.5,,nhd_13293262
ME,1995-07-06,2,21.5,,nhd_13293262
ME,1995-07-06,3,21.5,,nhd_13293262
ME,1995-07-06,4,21.5,,nhd_13293262
ME,1995-07-06,5,21.5,,nhd_13293262
ME,1995-07-06,6,21.5,,nhd_13293262
ME,1995-07-06,7,21.5,,nhd_13293262
ME,1995-07-06,8,21.5,,nhd_13293262
ME,1995-07-06,9,21.5,,nhd_13293262
ME,1995-07-06,10,21.5,,nhd_13293262
ME,1995-07-06,11,21.4,,nhd_13293262
ME,1995-07-06,12,15.1,,nhd_13293262
ME,1995-07-06,13,14.2,,nhd_13293262
ME,1995-07-06,14,13.3,,nhd_13293262
ME,1995-07-06,15,12.9,,nhd_13293262
ME,1995-07-06,16,12.1,,nhd_13293262
ME,1995-07-06,17,11.6,,nhd_13293262
ME,1995-07-06,18,11.3,,nhd_13293262
ME,1995-07-06,19,11,,nhd_13293262
ME,1995-07-06,20,10.9,,nhd_13293262
ME,1995-07-06,21,10.9,,nhd_13293262
ME,1995-07-06,22,10.6,,nhd_13293262
ME,1995-07-06,23,10.6,,nhd_13293262
ME,1995-07-06,24,10.5,,nhd_13293262
ME,1995-07-06,25,10.4,,nhd_13293262
ME,1995-07-18,0,24.9,,nhd_13293262
ME,1995-07-18,1,25.1,,nhd_13293262
